"";"AIC";"BIC";"time";"rho";"knn";"obsSample";"minInterval";"moran"
"1444";272,24920299172;308,530694023748;0,540111064910889;-0,999999962994174;59;200;2801;0,0818459111009966
"1445";266,062444928259;302,343935960287;0,552029132843018;-0,999999962994174;60;200;2801;0,0775610547075359
"1446";264,523263834544;300,804754866572;0,574062824249268;-0,999999962994174;61;200;2801;0,0760968664396187
"1447";260,751874424333;297,033365456361;0,553079128265381;-0,999999962994174;62;200;2801;0,0721155644888371
"1448";254,89690416369;291,178395195718;0,552905797958374;-0,999999962994174;63;200;2801;0,0690060364552847
"1449";248,924287427139;285,205778459167;0,578104019165039;-0,999999962994174;64;200;2801;0,064455631663563
"1450";246,605102937443;282,886593969471;0,57461404800415;-0,999999962994174;65;200;2801;0,0596383313246593
"1451";244,155096007404;280,436587039432;0,577381134033203;-0,999999962994174;66;200;2801;0,0558167213448443
"1452";245,359943392103;281,641434424131;0,575591087341309;-0,999999962994174;67;200;2801;0,0521381440250331
"1453";242,289467136614;278,570958168643;0,586816072463989;-0,999999962994174;68;200;2801;0,0498044613177685
"1454";241,01872577878;277,300216810808;0,766363143920898;-0,999999962994174;69;200;2801;0,04678094122572
"1455";243,299371506137;279,580862538165;0,588574886322021;-0,999999962994174;70;200;2801;0,0454846850976033
"1456";246,520096901741;282,80158793377;0,603337049484253;-0,999999962994174;71;200;2801;0,0404600716972018
"1457";246,450023939613;282,731514971641;0,589061975479126;-0,999999962994174;72;200;2801;0,036945209209902
"1458";245,040962678749;281,322453710777;0,603471994400024;-0,999999962994174;73;200;2801;0,0361414056636427
"1459";241,5042280784;277,785719110428;0,601242065429688;-0,999999962994174;74;200;2801;0,0329005981115494
"1460";240,466060325995;276,747551358024;0,603469133377075;-0,999999962994174;75;200;2801;0,0317332199890626
"1461";248,114659634257;284,396150666286;0,593324899673462;-0,999999962994174;76;200;2801;0,0310789848098112
"1462";251,601036753508;287,882527785537;0,59601092338562;-0,999999962994174;77;200;2801;0,0291844037207298
"1463";251,528530916099;287,810021948127;0,599372863769531;-0,999999962994174;78;200;2801;0,0277145623491862
"1464";256,938549277107;293,220040309135;0,589269876480103;-0,999999962994174;79;200;2801;0,0238740579604693
"1465";260,694288017207;296,975779049236;0,601444005966187;-0,999999962994174;80;200;2801;0,0222535280209824
"1466";263,959328129108;300,240819161136;0,587433815002441;-0,999999962994174;81;200;2801;0,022339338564341
"1467";264,616505584567;300,897996616596;0,593966960906982;-0,999999962994174;82;200;2801;0,0192530066366776
"1468";264,753122100425;301,034613132454;0,598697900772095;-0,999999962994174;83;200;2801;0,0183391603110098
"1469";265,549234171367;301,830725203395;0,607736110687256;-0,999999962994174;84;200;2801;0,0166050926755778
"1470";265,597562880811;301,87905391284;0,604509830474854;-0,999999962994174;85;200;2801;0,0161119752008413
"1471";264,071057416769;300,352548448798;0,595103025436401;-0,999999962994174;86;200;2801;0,0151569737783581
"1472";268,351283344519;304,632774376547;0,592622041702271;-0,999999962994174;87;200;2801;0,0133760067703678
"1473";269,490421168548;305,771912200577;0,590313911437988;-0,999999962994174;88;200;2801;0,014280980244807
"1474";271,48451694302;307,766007975049;0,594981908798218;-0,999999962994174;89;200;2801;0,0133386249073173
"1475";270,890765393205;307,172256425233;0,596970796585083;-0,999999962994174;90;200;2801;0,0151622106609921
"1476";270,127567210797;306,409058242826;0,600413084030151;-0,999999962994174;91;200;2801;0,0165152550382395
"1477";271,687624258937;307,969115290965;0,599625825881958;-0,999999962994174;92;200;2801;0,0157535493882495
