"AIC" "BIC" "time" "rho" "knn" "obsSample" "seed" "moran" "direct" "indirect" "total" "AICsem" "BICsem" "lambda"
-616.23402489518 -599.74243806244 0.29097580909729 0.771391201229624 27 200 1 0.692805156227524 -0.0162549799966918 -0.00104987839854754 -0.0173048583952394 -617.881992103773 -604.688722637581 0.78175422099199
-615.49469184595 -599.003105013209 0.28421688079834 0.777412031154872 28 200 1 0.669273143594295 -0.0162711346242443 -0.00111089176417899 -0.0173820263884233 -617.120917498651 -603.927648032458 0.788726399868236
-615.311432495158 -598.819845662418 0.310209989547729 0.782977215869981 29 200 1 0.646133523499282 -0.0162622057221795 -0.00129125736911989 -0.0175534630912994 -616.829455935607 -603.636186469415 0.795654204719088
-615.03647870781 -598.54489187507 0.292266845703125 0.785483254049634 30 200 1 0.625414770241416 -0.0161758365249328 -0.00165661131737015 -0.0178324478423029 -616.284549109496 -603.091279643304 0.80250520000073
-613.327525222869 -596.835938390129 0.300246953964233 0.77688121327682 31 200 1 0.604399078267304 -0.0160283047444991 -0.00222046129674954 -0.0182487660412486 -613.96606007961 -600.772790613418 0.802958798140353
-613.472960142189 -596.981373309449 0.2952561378479 0.786677824905211 32 200 1 0.581758645810815 -0.0161385098940052 -0.0020008366721319 -0.0181393465661371 -614.476240386341 -601.282970920149 0.808250364883738
-611.224117401876 -594.732530569136 0.315146923065186 0.78327065954078 33 200 1 0.5616553701459 -0.0162353432853161 -0.00169403729302433 -0.0179293805783404 -612.521915399735 -599.328645933543 0.80229464931882
-610.086697627711 -593.595110794971 0.317040205001831 0.783580114881344 34 200 1 0.539798378282125 -0.0162807288011843 -0.00163564206399637 -0.0179163708651807 -611.467991971582 -598.27472250539 0.801597895326496
-609.07092745287 -592.57934062013 0.300189971923828 0.781581034752532 35 200 1 0.523959731271671 -0.0163175458785175 -0.00153980683072156 -0.0178573527092391 -610.537429921728 -597.344160455536 0.799054180576089
-607.736131867717 -591.244545034977 0.309684991836548 0.781585111513144 36 200 1 0.505674300028804 -0.0164136435657687 -0.00115956532503621 -0.0175732088908049 -609.441651253695 -596.248381787503 0.794754557935595
-605.377371217604 -588.885784384864 0.317152976989746 0.773385444485134 37 200 1 0.484830514128252 -0.0164713050850961 -0.000949070863286702 -0.0174203759483828 -607.177269843724 -593.984000377532 0.78454045833444
-604.695876578144 -588.204289745404 0.309334993362427 0.770163690512237 38 200 1 0.468964746787018 -0.016460478547866 -0.00107043153873881 -0.0175309100866048 -606.443164963181 -593.249895496988 0.783019347401398
-605.899354262276 -589.407767429536 0.331676959991455 0.776103775757462 39 200 1 0.455545977256502 -0.0164077598749913 -0.00147856259110687 -0.0178863224660982 -607.443251520771 -594.249982054579 0.793015943124919
-604.251882598207 -587.760295765466 0.320178031921387 0.774532517537846 40 200 1 0.43444050589466 -0.0163532571900801 -0.00195595081620896 -0.0183092080062891 -605.516611345902 -592.32334187971 0.795709741193672
-603.405301641034 -586.913714808294 0.312201023101807 0.78990297900691 41 200 1 0.410127317731909 -0.0164034015979428 -0.00199525108865512 -0.0183986526865979 -604.779145559383 -591.58587609319 0.80605743190963
-601.633323058792 -585.141736226052 0.307115077972412 0.795382970855383 42 200 1 0.383760833310288 -0.0164551537614929 -0.00187715605953332 -0.0183323098210262 -603.148585323454 -589.955315857262 0.808003447626464
-599.524919629613 -583.033332796873 0.427482843399048 0.800362398400204 43 200 1 0.36012350586869 -0.016550553308908 -0.0013676207902285 -0.0179181740991365 -601.291520275757 -588.098250809565 0.807282628059151
-597.910350727764 -581.418763895024 0.309170961380005 0.796038355966286 44 200 1 0.341152720700292 -0.0165288793407444 -0.00176755430161544 -0.0182964336423598 -599.538235967078 -586.344966500886 0.804104933288683
-596.704025562355 -580.212438729615 0.309075117111206 0.794047736627201 45 200 1 0.322860854382089 -0.0165069073022733 -0.00224662684047166 -0.0187535341427449 -598.140771664186 -584.947502197993 0.802790077094913
-596.156132943406 -579.664546110666 0.317190885543823 0.79667266667802 46 200 1 0.304223750392908 -0.0164953010599206 -0.00269913529632024 -0.0191944363562408 -597.415630838449 -584.222361372256 0.805235603894853
-594.322181848582 -577.830595015842 0.306881904602051 0.797074709422275 47 200 1 0.286585483187762 -0.0165635224384275 -0.00218490697405747 -0.018748429412485 -595.857725519908 -582.664456053716 0.802410444377078
-594.042755924513 -577.551169091773 0.304187059402466 0.80549983783142 48 200 1 0.271928805243937 -0.0166006181517365 -0.00199206781132604 -0.0185926859630625 -595.698105921348 -582.504836455156 0.809227862020156
-593.871569745799 -577.379982913059 0.319186925888062 0.814272088319976 49 200 1 0.255343614133688 -0.0166486003211036 -0.00164054462021338 -0.018289144941317 -595.65973497719 -582.466465510998 0.816038547650653
-593.862024771269 -577.370437938529 0.344789028167725 0.82976446579083 50 200 1 0.239066388431704 -0.0167152551768678 -0.000891591525271743 -0.0176068467021395 -595.805787571162 -582.612518104969 0.830079870336046
-602.580063838697 -586.088477005957 0.437536954879761 0.345337609532402 2 200 51 0.953682035415141 -0.0160781688245582 0.00147306794704664 -0.0146051008775115 -604.338546603574 -591.145277137382 0.345934097547506
-613.846660721847 -597.355073889106 0.296207904815674 0.460987103593252 3 200 51 0.94843576890016 -0.0162647312601148 0.00163112558879126 -0.0146336056713235 -615.503450615721 -602.310181149529 0.462554623136703
-614.591111099435 -598.099524266695 0.292587995529175 0.496067447602674 4 200 51 0.946806168106418 -0.0158170781849597 0.00119974566882004 -0.0146173325161397 -616.370357769334 -603.177088303142 0.496613140945709
-616.856953600987 -600.365366768247 0.287188053131104 0.525491410866012 5 200 51 0.945201172962972 -0.0161872116407368 0.00161006593234634 -0.0145771457083905 -618.382982771298 -605.189713305106 0.526013274569691
-623.255338243339 -606.763751410599 0.278073072433472 0.578105206528018 6 200 51 0.943986799562689 -0.0166165625923971 0.0020785603642509 -0.0145380022281462 -624.368417613202 -611.17514814701 0.578068409049145
-633.752500124561 -617.260913291821 0.284281015396118 0.634998430010477 7 200 51 0.9446152800355 -0.0173478288239394 0.00285032222203632 -0.0144975066019031 -633.887379643705 -620.694110177513 0.634107275715324
-634.026865789027 -617.535278956287 0.285227060317993 0.643934927005026 8 200 51 0.943435070951342 -0.0176753894810112 0.00324340692439652 -0.0144319825566147 -633.403852739664 -620.210583273472 0.641715053027879
-636.089035890588 -619.597449057848 0.28068208694458 0.659927840725153 9 200 51 0.94298932862871 -0.0169659025501267 0.00250454818133391 -0.0144613543687928 -636.390854015001 -623.197584548809 0.659683950103687
-639.10439146535 -622.61280463261 0.288270950317383 0.675364099493553 10 200 51 0.941484736398443 -0.0166726917482808 0.0021853751445177 -0.0144873166037631 -639.645309108952 -626.45203964276 0.676262860051027
-641.805616905417 -625.314030072677 0.278982162475586 0.694977462315384 11 200 51 0.940514744706149 -0.0167382759275161 0.00225445112088437 -0.0144838248066317 -642.208302163463 -629.015032697271 0.696314852957585
-642.175981803884 -625.684394971144 0.27131986618042 0.701372276725063 12 200 51 0.939926318779843 -0.0165473788958581 0.00205610847298534 -0.0144912704228728 -642.762554997392 -629.5692855312 0.702787909570403
-642.235522700761 -625.743935868021 0.280483961105347 0.707115381030629 13 200 51 0.939395858639053 -0.0163809048036402 0.00189654605276107 -0.0144843587508791 -642.966127989708 -629.772858523516 0.708204699043645
-639.648403383201 -623.156816550461 0.281244993209839 0.702077112993085 14 200 51 0.936332592427979 -0.0163051097732824 0.00180900178276532 -0.0144961079905171 -640.423120294616 -627.229850828424 0.703185791697815
-636.091816014887 -619.600229182147 0.272832870483398 0.689767835602208 15 200 51 0.935191127211053 -0.0158064781659057 0.00124273359431424 -0.0145637445715914 -637.46515660236 -624.271887136168 0.690989717589614
-636.854212223548 -620.362625390807 0.293217897415161 0.697603418810766 16 200 51 0.934751152038885 -0.015665569445878 0.00110030967363983 -0.0145652597722382 -638.340496804154 -625.147227337962 0.698792917010159
-635.774659722467 -619.283072889726 0.282904863357544 0.694758305356499 17 200 51 0.934963235514626 -0.0155062323996775 0.000959151636719365 -0.0145470807629581 -637.363109746093 -624.169840279901 0.695771938849154
-635.092092519053 -618.600505686313 0.287272930145264 0.692098207617862 18 200 51 0.933472079176693 -0.0155575262131191 0.00100428092739863 -0.0145532452857205 -636.616388355105 -623.423118888913 0.693311699937646
-635.139838308692 -618.648251475952 0.293252944946289 0.692853916912927 19 200 51 0.933533148025369 -0.0154515310344012 0.000897343590717184 -0.014554187443684 -636.752207403758 -623.558937937566 0.693960160338766
-632.414066241584 -615.922479408844 0.305064916610718 0.725641211485035 20 200 51 0.905128356298448 -0.0152360332054084 0.000838490880978295 -0.0143975423244301 -634.115578488684 -620.922309022492 0.724918709745822
