"AIC" "BIC" "time" "rho" "knn" "obsSample" "seed" "moran"
-404.361990080659 -374.677133781727 0.514652967453003 0.719491177823805 39 200 51 0.346442159318809
-401.927231520975 -372.242375222043 0.561497926712036 0.671435668100606 40 200 51 0.340159244970781
-399.641110553961 -369.956254255028 0.56648588180542 0.630119119626053 41 200 51 0.33664197941075
-398.108460033057 -368.423603734125 0.635329008102417 0.593958464892346 42 200 51 0.327348461894762
-396.387306983018 -366.702450684085 0.588107824325562 0.544327999986179 43 200 51 0.317239305383959
-394.864837938769 -365.179981639837 0.617690086364746 0.481465620360951 44 200 51 0.312175918680157
-394.748928756424 -365.064072457491 0.659137010574341 0.483521532458003 45 200 51 0.306183791860005
-393.456825278976 -363.771968980044 0.612352132797241 0.386705156219927 46 200 51 0.301163256444442
-392.742732844575 -363.057876545643 0.578781127929688 0.325361170046532 47 200 51 0.296525302407881
-392.093829292331 -362.408972993398 0.514926910400391 0.315248489536838 48 200 51 0.290920338706076
-391.193449308186 -361.508593009254 0.539681911468506 0.0725900759142093 49 200 51 0.284109959368802
-391.499655856548 -361.814799557615 0.486479997634888 -0.35124525170608 50 200 51 0.274744416223189
-123.217023272465 -93.5321669735323 0.411833047866821 0.614155118054099 2 200 101 0.748153901210657
-130.636974326066 -100.952118027134 0.423529148101807 0.676760788326896 3 200 101 0.726399363889888
-106.788447494094 -77.1035911951613 0.399868965148926 0.69375277011391 4 200 101 0.716685274619299
-104.531223769124 -74.8463674701916 0.440278053283691 0.790011103992189 5 200 101 0.701386159863191
-88.2695760853309 -58.5847197863986 0.39673113822937 0.766877724254126 6 200 101 0.69161595118296
-72.9192272290576 -43.2343709301253 0.435029029846191 0.75149413352436 7 200 101 0.689261620006317
-62.1630285728078 -32.4781722738755 0.409454107284546 0.720821913506432 8 200 101 0.680292676302037
-56.9740699057122 -27.2892136067799 0.421880960464478 0.702048102339928 9 200 101 0.669176919373879
-49.4681701410408 -19.7833138421085 0.407081127166748 0.677751657436089 10 200 101 0.660233490704522
-48.8081971920568 -19.1233408931245 0.445864915847778 0.676127110997527 11 200 101 0.654902120720347
-44.2379237417601 -14.5530674428278 0.495253086090088 0.669639736660873 12 200 101 0.646417225900451
-44.2630394140033 -14.578183115071 0.447829961776733 0.681279806806974 13 200 101 0.639977911977185
-44.2695494203928 -14.5846931214605 0.472851991653442 0.691076268201637 14 200 101 0.632674774340996
-43.2886823710799 -13.6038260721476 0.467217206954956 0.682457421620113 15 200 101 0.624367271023704
-40.0264037083055 -10.3415474093732 0.443350076675415 0.641601605324303 16 200 101 0.615329960150908
-38.2333959287084 -8.54853962977611 0.48692798614502 0.63086244974808 17 200 101 0.608340146139257
-39.7369893463913 -10.052133047459 0.504556894302368 0.641134194944078 18 200 101 0.59831779967473
-40.5049545928487 -10.8200982939163 0.452568054199219 0.631889113909485 19 200 101 0.591920384434849
-40.252430525564 -10.5675742266316 0.427961111068726 0.625953205182132 20 200 101 0.582094062098288
-40.2442964568861 -10.5594401579538 0.459069013595581 0.648392519334074 21 200 101 0.574417248134613
