"AIC" "BIC" "time" "rho" "knn" "obsSample" "seed" "moran"
-153.767580447095 -133.977676247807 0.293217182159424 0.862273926246333 5 200 51 0.986438573606512
-133.918332379296 -114.128428180007 0.268942832946777 0.867384155470845 6 200 51 0.983645161950988
-138.902417187502 -119.112512988214 0.256469964981079 0.884828639060906 7 200 51 0.982974153625751
-110.74765253502 -90.9577483357315 0.267266988754272 0.873466732951739 8 200 51 0.981524526484906
-97.1724456363453 -77.382541437057 0.262202024459839 0.87137616485771 9 200 51 0.980797138645583
-76.494741594681 -56.7048373953928 0.260196924209595 0.846554051529235 10 200 51 0.979486089230736
-68.4523412068357 -48.6624370075475 0.270178079605103 0.843210301805365 11 200 51 0.979190610546076
-57.2116941525086 -37.4217899532204 0.251929044723511 0.829228181016932 12 200 51 0.977737588616419
-44.0313056033256 -24.2414014040373 0.253679990768433 0.803917822121677 13 200 51 0.975672751583351
-36.9711496874669 -17.1812454881787 0.259238004684448 0.78980499634943 14 200 51 0.974975861634114
-28.2263136454904 -8.43640944620223 0.281302928924561 0.760025463409604 15 200 51 0.973909315379648
-19.1842034098911 0.605700789397147 0.253956079483032 0.720123193859098 16 200 51 0.971039842875421
-13.8232991352321 5.96660506405614 0.264474153518677 0.692968357133133 17 200 51 0.970222939585046
-9.03651596141862 10.7533882378696 0.275768995285034 0.659318369020602 18 200 51 0.968512384808164
-3.87872523790483 15.9111789613834 0.265362024307251 0.620357332840242 19 200 51 0.966768584559885
-0.990050120056026 18.7998540792322 0.265107870101929 0.598041106762547 20 200 51 0.965676654702037
2.55149979482084 22.3414039941091 0.275209903717041 0.557038843639924 21 200 51 0.9643278247352
4.21925849596454 24.0091626952528 0.260251045227051 0.541502136920432 22 200 51 0.963781187495475
5.351211071752 25.1411152710402 0.281029224395752 0.527300462764895 23 200 51 0.96348521033097
7.65581795747289 30.7440395233091 0.254834175109863 0.523058768891728 24 200 51 0.962507796229366
-7.77545162742973 15.3127699384065 0.258279085159302 0.459740882008307 25 200 51 0.911773757244492
-17.3654761391948 5.72274542664147 0.265911102294922 0.417533304265313 26 200 51 0.863366694378489
-21.8334144878256 1.25480707801069 0.267680883407593 0.384542908024493 27 200 51 0.81701004825379
-30.2935070074268 -7.20528544159054 0.279277086257935 0.362304889794996 28 200 51 0.774863356380643
-42.2010144868795 -19.1127929210433 0.270599842071533 0.358471735827276 29 200 51 0.734689562474259
-29.5849858233312 -6.49676425749498 0.269913911819458 0.349524712110783 30 200 51 0.694588593405941
-34.1983483415986 -11.1101267757623 0.288443088531494 0.333669224686658 31 200 51 0.659649193593507
-23.9010704797741 -0.812848913937891 0.274492979049683 0.328112677364988 32 200 51 0.622589362958354
-16.2827173510309 6.80550421480539 0.279699087142944 0.314561388633135 33 200 51 0.587196263221275
-10.4222023183448 12.6660192474914 0.293327808380127 0.294020567798979 34 200 51 0.552826362929714
-8.00438315431046 15.0838384115258 0.305180072784424 0.299673652480627 35 200 51 0.523192540726563
-5.47119239764669 17.6170291681896 0.298002958297729 0.297838427897268 36 200 51 0.495205617495461
-2.56486435017092 20.5233572156653 0.293562889099121 0.280838581184372 37 200 51 0.467571580878646
0.732446386706783 23.820667952543 0.294133901596069 0.292124559373447 38 200 51 0.442568497733185
2.48597854523578 25.574200111072 0.301594972610474 0.267455379608328 39 200 51 0.417633121784957
4.15124060847211 27.2394621743084 0.328773975372314 0.265292267896152 40 200 51 0.394389697847779
4.83790613088564 27.9261276967219 0.300029993057251 0.246810206105449 41 200 51 0.371379247704966
4.87921362169368 27.9674351875299 0.34514307975769 0.235790931323045 42 200 51 0.351361719819709
5.04078042557541 28.1290019914117 0.304188013076782 0.237636704101745 43 200 51 0.331881608108113
4.72544200257093 27.8136635684072 0.31116795539856 0.193310882771645 44 200 51 0.313269164184267
5.20444608016743 28.2926676460037 0.324088096618652 0.185356345047031 45 200 51 0.295751476112574
5.21434460322575 28.302566169062 0.308202981948853 0.155497030324833 46 200 51 0.2788522030419
4.53738993743062 27.6256115032669 0.318125009536743 0.0926277575439287 47 200 51 0.263248806445247
4.75186161641702 27.8400831822533 0.33715295791626 0.0373717040196374 48 200 51 0.247788025307372
3.81744063848728 26.9056622043235 0.33806300163269 -0.101847642194443 49 200 51 0.233238973117981
-1.01457557846686 22.0736459873694 0.35501503944397 -0.429068427586951 50 200 51 0.223109784628877
-647.341376808951 -627.551472609662 0.354056119918823 0.363407938161849 2 200 101 0.99959660453413
-657.0079413397 -637.218037140411 0.303183078765869 0.478265021878965 3 200 101 0.9993876824726
-656.749073889552 -636.959169690263 0.299201011657715 0.516672203721281 4 200 101 0.99984376336188
-657.593342676755 -637.803438477467 0.312118053436279 0.547632234184039 5 200 101 0.999263208679762
-657.187860034603 -637.397955835315 0.31016993522644 0.568672459519896 6 200 101 0.999010531722445
